breed,breed_info_link,breed_img_link
Chihuahua,https://dogtime.com/dog-breeds/chihuahua,https://www.dogtime.com/assets/uploads/2011/01/file_23102_chihuahua-300x189.jpg
Chilier,https://dogtime.com/dog-breeds/chilier,https://www.dogtime.com/assets/uploads/2019/10/chilier-mixed-dog-breed-pictures-cover-650x368.jpg
Chinese Crested,https://dogtime.com/dog-breeds/chinese-crested,https://www.dogtime.com/assets/uploads/2011/01/file_23104_17524831-300x189.jpg
Chinese Shar-Pei,https://dogtime.com/dog-breeds/chinese-shar-pei,https://www.dogtime.com/assets/uploads/2011/01/file_23142_chinese-shar-pei-300x189.jpg
Chinook,https://dogtime.com/dog-breeds/chinook,https://www.dogtime.com/assets/uploads/2011/01/file_23232_chinook-300x189.jpg
Chion,https://dogtime.com/dog-breeds/chion,https://www.dogtime.com/assets/uploads/2020/01/chion-mixed-dog-breed-pictures-cover-650x368.jpg
Chipin,https://dogtime.com/dog-breeds/chipin,https://www.dogtime.com/assets/uploads/2019/07/chipin-mixed-dog-breed-pictures-cover-650x368.jpg
Chiweenie,https://dogtime.com/dog-breeds/chiweenie,https://www.dogtime.com/assets/uploads/2019/07/chiweenie-mixed-dog-breed-pictures-cover-650x368.jpg
Chorkie,https://dogtime.com/dog-breeds/chorkie,https://www.dogtime.com/assets/uploads/2020/01/chorkie-mixed-dog-breed-pictures-cover-650x368.jpg
Chow Chow,https://dogtime.com/dog-breeds/chow-chow,https://www.dogtime.com/assets/uploads/2011/01/file_23144_chow-chow-300x189.jpg
Chow Shepherd,https://dogtime.com/dog-breeds/chow-shepherd,https://www.dogtime.com/assets/uploads/2020/01/chow-shepherd-mixed-dog-breed-pictures-cover-650x368.jpg
Chug,https://dogtime.com/dog-breeds/chug,https://www.dogtime.com/assets/uploads/2019/07/chug-mixed-dog-breed-pictures-cover-650x368.jpg
Chusky,https://dogtime.com/dog-breeds/chusky,https://www.dogtime.com/assets/uploads/2019/08/chusky-mixed-dog-breed-pictures-cover-650x368.jpg
Cirneco dell’Etna,https://dogtime.com/dog-breeds/cirneco-delletna,https://www.dogtime.com/assets/uploads/2019/12/Cirneco-dellEtna-dog-breed-pictures-cover-650x368.jpg
Clumber Spaniel,https://dogtime.com/dog-breeds/clumber-spaniel,https://www.dogtime.com/assets/uploads/2011/01/file_22960_clumber-spaniel-300x189.jpg
Cockalier,https://dogtime.com/dog-breeds/cockalier,https://www.dogtime.com/assets/uploads/2019/10/cockalier-mixed-dog-breed-picture-cover-650x368.jpg
Cockapoo,https://dogtime.com/dog-breeds/cockapoo,https://www.dogtime.com/assets/uploads/2011/01/file_23218_cockapoo-dog-breed-300x189.jpg
Cocker Spaniel,https://dogtime.com/dog-breeds/cocker-spaniel,https://www.dogtime.com/assets/uploads/2011/01/file_22962_cocker-spaniel-300x189.jpg
Collie,https://dogtime.com/dog-breeds/collie,https://www.dogtime.com/assets/uploads/2011/01/file_23186_collie-300x189.jpg
Corgi Inu,https://dogtime.com/dog-breeds/corgi-inu,https://www.dogtime.com/assets/uploads/2019/08/corgi-inu-mixed-dog-breed-pictures-cover-650x368.jpg
Corgidor,https://dogtime.com/dog-breeds/corgidor,https://www.dogtime.com/assets/uploads/2019/07/corgidor-mixed-dog-breed-pictures-cover-650x368.jpg
Corman Shepherd,https://dogtime.com/dog-breeds/corman-shepherd,https://www.dogtime.com/assets/uploads/2019/11/corman-shepherd-mixed-dog-breed-pictures-cover-650x368.jpg
Coton de Tulear,https://dogtime.com/dog-breeds/coton-de-tulear,https://www.dogtime.com/assets/uploads/2011/01/file_23230_coton-de-tulear-300x189.jpg
Croatian Sheepdog,https://dogtime.com/dog-breeds/croatian-sheepdog,https://www.dogtime.com/assets/uploads/2020/05/croatian-sheepdog-breed-pictures-cover-650x368.jpg
Curly-Coated Retriever,https://dogtime.com/dog-breeds/curly-coated-retriever,https://www.dogtime.com/assets/uploads/2011/01/file_22964_curly-coated-retriever-300x189.jpg
Dachsador,https://dogtime.com/dog-breeds/dachsador,https://www.dogtime.com/assets/uploads/2019/09/dachsador-mixed-dog-breed-pictures-cover-650x368.jpg
Dachshund,https://dogtime.com/dog-breeds/dachshund,https://www.dogtime.com/assets/uploads/2011/01/file_23020_dachshund-dog-breed-300x189.jpg
Dalmatian,https://dogtime.com/dog-breeds/dalmatian,https://www.dogtime.com/assets/uploads/2011/01/file_23146_dalmatian-300x189.jpg
Dandie Dinmont Terrier,https://dogtime.com/dog-breeds/dandie-dinmont-terrier,https://www.dogtime.com/assets/uploads/2011/01/file_23064_dandie-dinmont-terrier-300x189.jpg
Daniff,https://dogtime.com/dog-breeds/daniff,https://www.dogtime.com/assets/uploads/2019/11/daniff-mixed-dog-breed-pictures-cover-650x368.jpg
Danish-Swedish Farmdog,https://dogtime.com/dog-breeds/danish-swedish-farmdog,https://www.dogtime.com/assets/uploads/2020/08/danish-swedish-farmdog-breed-pictures-cover-650x368.jpg
Deutscher Wachtelhund,https://dogtime.com/dog-breeds/deutscher-wachtelhund,https://www.dogtime.com/assets/uploads/2019/10/Deutscher-Wachtelhund-dog-breed-pictures-cover-650x368.jpg
Doberdor,https://dogtime.com/dog-breeds/doberdor,https://www.dogtime.com/assets/uploads/2019/08/doberdor-mixed-breed-dog-pictures-cover-650x368.jpg
Doberman Pinscher,https://dogtime.com/dog-breeds/doberman-pinscher,https://www.dogtime.com/assets/uploads/2011/01/file_22920_doberman-pinscher-300x189.jpg
Docker,https://dogtime.com/dog-breeds/docker,https://www.dogtime.com/assets/uploads/2019/07/docker-mixed-dog-breed-pictures-cover-650x368.jpg
Dogo Argentino,https://dogtime.com/dog-breeds/dogo-argentino,https://www.dogtime.com/assets/uploads/2017/12/dogo-argentino-breed-pictures-7-650x368.jpg
Dogue de Bordeaux,https://dogtime.com/dog-breeds/dogue-de-bordeaux,https://www.dogtime.com/assets/uploads/2011/01/file_23252_dogue-de-bordeaux-dog-breed-300x189.jpg
Dorgi,https://dogtime.com/dog-breeds/dorgi,https://www.dogtime.com/assets/uploads/2019/08/dorgi-mixed-dog-breed-pictures-cover-650x368.jpg
Dorkie,https://dogtime.com/dog-breeds/dorkie,https://www.dogtime.com/assets/uploads/2020/01/dorkie-mixed-dog-breed-pictures-cover-650x368.jpg
